case,assured_rate,nSources,nFlows,pps,avgQ,throughput,avg_delay,delivery_ratio,drop_ratio
3,100,20,20,100,0.00478469,10.3437,63.0566,0.997146,0.00285408
3,100,40,40,100,0.473684,18.2885,63.7901,0.998384,0.00161623
3,100,60,60,100,229.359,26.2013,192.527,0.830226,0.169774
3,100,80,80,100,291.177,26.9036,227.443,0.644525,0.355475
3,100,100,100,100,362.053,26.994,255.031,0.551748,0.448252
3,100,50,10,100,0,5.01541,62.9774,0.997546,0.00245359
3,100,50,20,100,0.0143541,9.81863,63.0871,0.997577,0.00242313
3,100,50,30,100,0.0478469,15.774,63.2989,0.997919,0.00208111
3,100,50,40,100,17.9713,21.2475,70.5792,0.995856,0.00414362
3,100,50,50,100,208.182,25.1301,138.672,0.942565,0.0574355
3,100,50,50,100,208.182,25.1301,138.672,0.942565,0.0574355
3,100,50,50,200,357.804,26.9023,506.118,0.508392,0.491608
3,100,50,50,300,440.584,27.2778,799.152,0.344536,0.655464
3,100,50,50,400,466.416,27.4649,1072.93,0.260511,0.739489
3,100,50,50,500,477.005,27.566,1274.21,0.209339,0.790661
