case,assured_rate,nSources,nFlows,pps,mobility,nodespeed,txrange,area_multiplier,nFtp,nOnOff,avgQ,throughput,avg_delay,delivery_ratio,drop_ratio,energy_consumed
3,100,20,20,100,0,5,50,1,0,20,884.115,0.700274,5502.8,0.0647701,0.93523,778.439
3,100,40,40,100,0,5,50,1,0,40,469.029,0.961386,4985.03,0.0479275,0.952072,1504.8
3,100,60,60,100,0,5,50,1,0,60,110.234,0.955629,2119.53,0.0309145,0.969085,2217.81
3,100,80,80,100,0,5,50,1,0,80,445.732,0.955629,4422.15,0.0234435,0.976557,2963.48
3,100,100,100,100,0,5,50,1,0,100,30.9043,0.956862,1118.73,0.0185371,0.981463,3653.35
3,100,50,10,100,0,5,50,1,0,10,956.589,0.485216,4054.26,0.10792,0.89208,1737.09
3,100,50,20,100,0,5,50,1,0,20,860.971,0.427237,5062.5,0.0446997,0.9553,1875.04
3,100,50,30,100,0,5,50,1,0,30,650.134,0.940826,6032.63,0.064917,0.935083,1879.79
3,100,50,40,100,0,5,50,1,0,40,584.694,0.958096,5442.13,0.0489712,0.951029,1880.93
3,100,50,50,100,0,5,50,1,0,50,510.612,0.958096,5062.22,0.0385685,0.961432,1876.3
3,100,50,50,100,0,5,50,1,0,50,510.612,0.958096,5062.22,0.0385685,0.961432,1876.3
3,100,50,50,200,0,5,50,1,0,50,435.785,0.958096,4931.33,0.0194308,0.980569,1868.58
3,100,50,50,300,0,5,50,1,0,50,477.876,0.958096,5189.52,0.0129878,0.987012,1871.74
3,100,50,50,400,0,5,50,1,0,50,477.909,0.958096,5190.79,0.00975393,0.990246,1871.71
3,100,50,50,500,0,5,50,1,0,50,486.574,0.958096,5223.44,0.0078104,0.99219,1871.57
