case,assured_rate,nSources,nFTP,nOnOFF,avgQ,marked_green,marked_yellow,marked_red,link_utilization,dropped_green,dropped_yellow,dropped_red
1,25,100,100,0,464.837,32840,32884,3292261,3.22929,0,0,2
1,50,100,100,0,464.842,65724,65769,3226492,3.22929,0,0,2
1,75,100,100,0,464.856,98610,98661,3160714,3.22929,0,0,2
1,100,100,100,0,464.866,131493,131550,3094942,3.22929,0,0,2
1,125,100,100,0,464.871,164386,164429,3029170,3.22929,0,0,2
3,25,100,0,100,365.1,29346,29159,91635,3.22929,0,0,2
3,50,100,0,100,365.488,58491,52429,39220,3.22929,0,0,0
3,75,100,0,100,365.201,86328,51811,12001,3.22929,0,1,0
3,100,100,0,100,365.488,110920,35418,3802,3.22929,0,0,0
3,125,100,0,100,365.488,128622,20813,705,3.22929,0,0,0
5,25,100,20,80,328.215,29906,29661,732074,3.22929,0,0,1
5,50,100,20,80,328.321,59559,54491,677591,3.22929,0,0,1
5,75,100,20,80,328.325,88193,60587,642861,3.22929,0,0,1
5,100,100,20,80,328.45,114049,54384,623208,3.22929,0,0,0
5,125,100,20,80,328.45,134718,49003,607920,3.22929,0,0,0
