case,assured_rate,nSources,nFTP,nOnOFF,avgQ,marked_green,marked_yellow,marked_red,link_utilization,dropped_green,dropped_yellow,dropped_red
1,25,100,100,0,410.33,32603,32658,3268012,184.782,0,0,268644
1,50,100,100,0,415.828,65261,65303,3202709,184.782,0,0,268595
1,75,100,100,0,425.622,97914,97963,3137396,184.782,0,33,268566
1,100,100,100,0,432.77,130564,130621,3072088,184.782,5,355,268241
1,125,100,100,0,439.464,163222,163276,3006775,184.782,28,1796,266791
2,25,100,100,0,443.148,32603,0,3300670,183.565,0,56,266520
2,50,100,100,0,472.187,65261,0,3268012,183.565,0,5794,260774
2,75,100,100,0,471.976,97914,0,3235359,182.988,0,20958,245622
2,100,100,100,0,474.914,130564,0,3202709,175.608,4,35310,231251
2,125,100,100,0,490.215,163222,0,3170051,135.558,161,59221,207231
3,25,100,0,100,261.258,28947,0,119270,171.073,0,56,23074
3,50,100,0,100,295.23,57739,0,90478,171.148,156,8951,13970
3,75,100,0,100,298.23,85344,0,62873,171.129,4737,13585,4769
3,100,100,0,100,279.421,109473,0,38744,170.937,12138,9485,1607
3,125,100,0,100,264.23,126022,0,22195,170.871,17440,5433,407
4,25,100,0,100,259.378,28947,0,119270,170.105,0,52,22834
4,50,100,0,100,294.483,57739,0,90478,170.215,143,8676,13929
4,75,100,0,100,292.598,85344,0,62873,170.171,4707,13292,4748
4,100,100,0,100,279.766,109473,0,38744,170.052,11945,9341,1569
4,125,100,0,100,265.364,126022,0,22195,169.996,17264,5284,399
5,25,100,20,80,330,29866,0,763194,176.706,0,74,70864
5,50,100,20,80,365.641,59671,0,733389,176.706,143,14171,56506
5,75,100,20,80,372.368,88586,0,704474,176.706,6334,21754,42745
5,100,100,20,80,363.005,114564,0,678496,176.335,15862,19250,35679
5,125,100,20,80,356.718,134656,0,658404,165.925,24697,16752,29433
6,25,100,20,80,333.191,29866,0,763194,175.954,0,82,70091
6,50,100,20,80,367.196,59671,0,733389,175.954,151,13820,56123
6,75,100,20,80,372.565,88586,0,704474,175.954,6523,21255,42330
6,100,100,20,80,365.646,114564,0,678496,175.408,15292,19155,35625
6,125,100,20,80,358.904,134656,0,658404,164.435,24255,16799,29046
