case,assured_rate,nSources,nFTP,nOnOff,avgQ,redMinTh,redMaxTh,redMaxP,redQW
1,25,100,100,0,138.799,94,281,0.1,0.03
1,50,100,100,0,138.799,94,281,0.1,0.03
1,75,100,100,0,138.799,94,281,0.1,0.03
1,100,100,100,0,138.799,94,281,0.1,0.03
1,125,100,100,0,138.799,94,281,0.1,0.03
2,25,100,100,0,39.1483,94,281,0.1,0.03
2,50,100,100,0,39.1483,94,281,0.1,0.03
2,75,100,100,0,39.1483,94,281,0.1,0.03
2,100,100,100,0,39.1483,94,281,0.1,0.03
2,125,100,100,0,39.1483,94,281,0.1,0.03
3,25,100,0,100,59.756,94,281,0.1,0.03
3,50,100,0,100,59.756,94,281,0.1,0.03
3,75,100,0,100,59.756,94,281,0.1,0.03
3,100,100,0,100,59.756,94,281,0.1,0.03
3,125,100,0,100,59.756,94,281,0.1,0.03
4,25,100,0,100,0.0813397,94,281,0.1,0.03
4,50,100,0,100,0.0813397,94,281,0.1,0.03
4,75,100,0,100,0.0813397,94,281,0.1,0.03
4,100,100,0,100,0.0813397,94,281,0.1,0.03
4,125,100,0,100,0.0813397,94,281,0.1,0.03
5,25,100,20,80,97.177,94,281,0.1,0.03
5,50,100,20,80,97.177,94,281,0.1,0.03
5,75,100,20,80,97.177,94,281,0.1,0.03
5,100,100,20,80,97.177,94,281,0.1,0.03
5,125,100,20,80,97.177,94,281,0.1,0.03
6,25,100,20,80,3.60287,94,281,0.1,0.03
6,50,100,20,80,3.60287,94,281,0.1,0.03
6,75,100,20,80,3.60287,94,281,0.1,0.03
6,100,100,20,80,3.60287,94,281,0.1,0.03
6,125,100,20,80,3.60287,94,281,0.1,0.03
