case,assured_rate,nSources,nFlows,pps,avgQ,throughput,avg_delay,delivery_ratio,drop_ratio
3,100,20,20,100,0,10.3437,62.681,0.997146,0.00285408
3,100,40,40,100,0.0239234,18.2894,62.7223,0.998429,0.00157134
3,100,60,60,100,0.15311,31.5098,62.844,0.998436,0.00156354
3,100,80,80,100,3.10048,41.6706,63.5278,0.998296,0.00170423
3,100,100,100,100,125.971,48.3699,87.0194,0.988662,0.011338
3,100,50,10,100,0,5.01541,62.6633,0.997546,0.00245359
3,100,50,20,100,0,9.81863,62.6837,0.997577,0.00242313
3,100,50,30,100,0,15.7749,62.7075,0.997971,0.00202908
3,100,50,40,100,0.100478,21.2932,62.7372,0.997996,0.00200436
3,100,50,50,100,0.138756,26.6067,62.7963,0.997949,0.00205127
3,100,50,50,100,0.138756,26.6067,62.7963,0.997949,0.00205127
3,100,50,50,200,199.234,49.2124,402.092,0.930001,0.0699988
3,100,50,50,300,400.679,51.958,768.078,0.656264,0.343736
3,100,50,50,400,399.354,52.5571,1161.87,0.498518,0.501482
3,100,50,50,500,399.062,52.8289,1505.88,0.401188,0.598812
