case,assured_rate,nSources,nFlows,pps,mobility,nodespeed,txrange,area_multiplier,nFtp,nOnOff,avgQ,throughput,avg_delay,delivery_ratio,drop_ratio,energy_consumed
3,100,20,20,100,0,5,50,1,0,20,594.364,0.8738,7125.91,0.08082,0.91918,776.8
3,100,40,40,100,0,5,50,1,0,40,586.608,0.920266,6447.42,0.0458776,0.954122,1510.2
3,100,60,60,100,0,5,50,1,0,60,33.622,0.835147,1059.81,0.027017,0.972983,2210.32
3,100,80,80,100,0,5,50,1,0,80,400.478,0.955629,4427.72,0.0234435,0.976557,2961.6
3,100,100,100,100,0,5,50,1,0,100,117.622,0.95933,1630.26,0.0185849,0.981415,3666.37
3,100,50,10,100,0,5,50,1,0,10,596.809,0.796906,6274.45,0.177245,0.822755,1734.86
3,100,50,20,100,0,5,50,1,0,20,600.067,0.828568,7385.84,0.086689,0.913311,1870.02
3,100,50,30,100,0,5,50,1,0,30,591.526,0.913686,6375.49,0.0630444,0.936956,1885.54
3,100,50,40,100,0,5,50,1,0,40,534.976,0.958096,5745.09,0.0489712,0.951029,1876.57
3,100,50,50,100,0,5,50,1,0,50,473.411,0.958096,5030.88,0.0385685,0.961432,1872.08
3,100,50,50,100,0,5,50,1,0,50,473.411,0.958096,5030.88,0.0385685,0.961432,1872.08
3,100,50,50,200,0,5,50,1,0,50,454.981,0.958096,5106.86,0.0194308,0.980569,1872.54
3,100,50,50,300,0,5,50,1,0,50,415.22,0.958096,5016.37,0.0129878,0.987012,1875.39
3,100,50,50,400,0,5,50,1,0,50,374.699,0.958096,4540.39,0.00975393,0.990246,1867.96
3,100,50,50,500,0,5,50,1,0,50,362.225,0.958096,4613.66,0.0078104,0.99219,1877.42
