case,assured_rate,nSources,nFTP,nOnOFF,avgQ,marked_green,marked_yellow,marked_red,link_utilization,dropped_green,dropped_yellow,dropped_red
1,25,100,100,0,205.632,32837,32881,354077,3.22929,0,0,157
1,50,100,100,0,215.962,65718,65766,288311,3.22929,0,0,138
1,75,100,100,0,222.947,98600,98652,222543,3.22929,0,0,146
1,100,100,100,0,228.737,131484,131536,156775,3.22929,0,0,123
1,125,100,100,0,233.397,164373,164414,91008,3.22929,0,0,130
3,25,100,0,100,268.694,29346,29159,91635,3.22929,0,6,343
3,50,100,0,100,344.364,58491,52429,39220,3.22929,0,13,147
3,75,100,0,100,380.316,86328,51811,12001,3.22929,0,87,39
3,100,100,0,100,390.196,110920,35418,3802,3.22929,1,66,18
3,125,100,0,100,399.89,128622,20813,705,3.22929,3,39,4
5,25,100,20,80,175.684,29906,29660,142869,3.22929,0,0,53
5,50,100,20,80,183.263,59558,54491,88386,3.22929,0,0,30
5,75,100,20,80,188.45,88190,60584,53661,3.22929,0,0,16
5,100,100,20,80,189.847,114048,54380,34007,3.22929,0,0,13
5,125,100,20,80,192.761,134716,48998,18721,3.22929,0,0,5
