case,assured_rate,nSources,nFTP,nOnOFF,avgQ,marked_green,marked_yellow,marked_red,link_utilization,dropped_green,dropped_yellow,dropped_red
1,25,100,100,0,249.746,32601,32657,351442,184.782,0,0,268786
1,50,100,100,0,253.718,65258,65297,286145,184.782,0,2081,266693
1,75,100,100,0,399.833,97904,97955,220841,184.782,0,59257,209372
1,100,100,100,0,404.048,130555,130605,155540,184.782,1206,117955,149463
1,125,100,100,0,598.555,163207,163257,90236,184.782,29752,151621,87068
2,25,100,100,0,249.861,32601,32657,351442,183.565,0,0,266790
2,50,100,100,0,252.574,65258,65297,286145,183.565,0,1992,264794
2,75,100,100,0,398.694,97904,97955,220841,183.565,1,58801,207842
2,100,100,100,0,404.167,130555,130605,155540,183.565,1156,117042,148432
2,125,100,100,0,598.842,163207,163257,90236,183.565,29458,150640,86343
3,25,100,0,100,228.498,28947,28798,90472,171.85,0,0,22402
3,50,100,0,100,246.086,57739,51734,38744,171.943,0,745,21561
3,75,100,0,100,361.134,85344,49968,12905,171.976,2,10510,11661
3,100,100,0,100,394.244,109473,33901,4843,172.024,200,17322,4569
3,125,100,0,100,498.364,126022,20869,1326,172.024,3322,17416,1325
4,25,100,0,100,229.067,28947,28798,90472,170.611,0,0,22388
4,50,100,0,100,243.718,57739,51734,38744,170.697,0,708,21596
4,75,100,0,100,362.904,85344,49968,12905,170.729,4,10546,11589
4,100,100,0,100,389.541,109473,33901,4843,170.878,205,17264,4548
4,125,100,0,100,497.014,126022,20869,1326,170.903,3377,17164,1324
5,25,100,20,80,248.794,29865,29815,143392,176.706,0,0,71018
5,50,100,20,80,261.129,59670,54891,88511,176.706,0,1061,69945
5,75,100,20,80,392.139,88584,60085,54403,176.706,0,20918,49959
5,100,100,20,80,416.038,114561,53531,34980,176.706,334,37842,32714
5,125,100,20,80,562.311,134653,49256,19163,176.706,8533,43819,18315
6,25,100,20,80,249.531,29865,29815,143392,175.954,0,0,70349
6,50,100,20,80,262.569,59670,54891,88511,175.954,0,1066,69230
6,75,100,20,80,385.971,88584,60085,54403,175.954,1,20597,49609
6,100,100,20,80,417.526,114561,53531,34980,175.954,343,37241,32530
6,125,100,20,80,561.392,134653,49256,19163,175.954,8464,43283,18246
